1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 
"intellig,10","intellig,3","system,26","system,14","manufactur,11","manufactur,20","system,24","system,14","manufactur,14","manufactur,23","manufactur,12","manufactur,15","manufactur,15","manufactur,33","manufactur,26","manufactur,22","manufactur,24","manufactur,34","manufactur,33","manufactur,42","manufactur,68","manufactur,78"
"system,10","manufactur,2","manufactur,26","manufactur,11","system,8","system,16","manufactur,20","manufactur,12","system,13","system,14","system,11","system,11","system,11","system,27","intellig,19","system,13","system,16","system,18","system,16","system,26","system,53","system,61"
"manufactur,9","neural,2","intellig,22","control,7","intellig,8","intellig,11","control,13","intellig,9","intellig,8","intellig,12","control,4","intellig,5","control,10","intellig,16","system,18","real-tim,12","intellig,15","intellig,10","intellig,11","intellig,22","smart,32","smart,43"
"control,5","network,2","control,9","intellig,5","control,4","control,9","intellig,12","control,7","control,6","control,10","intellig,4","network,5","process,10","control,10","schedul,7","intellig,7","simul,9","real-tim,7","process,8","process,18","intellig,28","product,35"
"cell,3","fuzzi,2","artifici,8","flexibl,4","flexibl,3","network,7","network,9","real-tim,5","model,5","schedul,5","agent,4","data,5","intellig,6","flexibl,7","model,6","rfid,6","control,6","monitor,7","plan,7","smart,17","process,17","factori,34"
"integr,3","logic,2","network,8","schedul,4","neural,3","schedul,6","model,7","agent,4","simul,5","simul,5","integr,4","factori,4","real-tim,5","product,6","simul,6","network,5","process,5","process,7","real-tim,6","factori,11","control,16","intellig,26"
"engin,2","object-ori,2","neural,7","network,3","network,3","neural,6","fuzzi,7","respons,3","smart,5","model,5","schedul,4","process,4","model,5","comput,6","control,5","agent,5","time,4","dynam,6","schedul,6","machin,9","product,15","industri,23"
"expert,2","configur,2","fuzzi,6","design,3","the,3","plan,5","neural,5","manag,3","comput,5","flexibl,5","featur,4","decis,4","machin,5","wireless,5","real-tim,5","control,5","product,4","manag,6","product,6","control,9","model,14","process,23"
"robot,2","autom,2","agent,5","simul,3","simul,2","agent,4","process,4","time,3","real-tim,4","product,4","simul,3","control,4","design,4","schedul,5","agent,4","enterpris,4","real-tim,4","design,5","manag,6","product,7","design,12","model,15"
"plan,2","system,2","expert,4","neural,2","autom,2","distribut,4","agent,4","schedul,2","schedul,4","sensor,4","manag,3","mine,4","qualiti,4","smart,5","distribut,4","wireless,4","design,4","enterpris,4","machin,5","manag,7","factori,12","energi,14"
"process,2","flexibl,1","algorithm,4","agent,2","``,2","function,4","support,4","hybrid,2","network,3","real-tim,3","model,3","neural,3","simul,3","distribut,5","multi-ag,4","process,3","machin,3","rfid,4","network,5","thing,6","machin,11","control,12"
"holon,1","learn,1","comput,4","object-ori,2","cell,2","manag,3","flexibl,4","size,2","agent,2","process,3","autom,3","support,3","network,3","real-tim,5","optim,4","design,3","agent,3","flexibl,4","control,5","model,6","optim,10","internet,12"
"work,1","simul,1","machin,4","rule-bas,2","floor,2","dynam,3","comput,3","process,2","time,2","design,3","real-tim,3","plan,3","sensor,3","monitor,5","process,4","reconfigur,3","model,3","decis,4","smart,4","industri,6","enterpris,10","4.0,11"
"organ,1","process,1","engin,3","mechan,2","smart,2","simul,3","plan,3","real,2","configur,2","rout,3","time,2","product,3","statist,3","manag,4","efm,4","digit,3","multi-ag,3","comput,4","monitor,4","decis,6","monitor,9","manag,11"
"concurr,1","control,1","logic,3","expert,2","materi,1","holon,3","structur,3","data,2","card,2","commun,3","process,2","schedul,3","algorithm,3","multi-ag,4","oper,3","schedul,3","featur,3","integr,4","algorithm,4","cloud,6","schedul,9","physic,11"
"design,1","mold,1","monitor,3","artifici,2","hling,1","multi-ag,3","data,3","distribut,2","distribut,2","artifici,2","plan,2","integr,3","comput,3","factori,4","algorithm,3","optim,3","architectur,2","sensor,4","structur,4","servic,6","real-tim,9","engin,10"
"simul,1","nonlinear,1","process,3","decis,2","guid,1","design,3","simul,3","flexibl,2","holon,2","network,2","holon,2","perform,2","integr,3","engin,4","petri,3","distribut,3","optim,2","model,4","cloud,4","engin,5","network,9","design,10"
"knowledge-bas,1","optim,1","learn,3","support,2","vehicl,1","comput,3","multi-ag,3","server,2","function,2","genet,2","materi,2","semiconductor,2","flexibl,3","object,3","net,3","product,3","knowledg,2","knowledg,4","time,3","autom,5","cloud,9","thing,10"
"neural,1","taguchi,1","flexibl,3","hybrid,2","comput,1","3D,3","decis,3","decis,2","effect,2","algorithm,2","hling,2","case-bas,2","smart,3","execut,3","knowledg,3","comput,3","supernova,2","control,4","architectur,3","internet,5","industri,9","optim,9"
"network,1","method,1","schedul,3","process,2","aid,1","sensor,3","real-tim,3","information-loc,1","autom,2","materi,2","recognit,2","reason,2","schedul,3","autom,3","machin,3","ant,3","semiconductor,2","flow,4","cnc,3","design,5","time,8","servic,9"
